Year,Week,Date_Wk,Date,State,Commodity,Commodity_type,Market,price
2019,2,01/13/2019,01/01/2019,Kano,maize,maize_white,farm_gate,92
2019,2,01/13/2019,01/01/2019,Kano,maize,maize_white,retail,101.42
2019,2,01/13/2019,01/01/2019,Kano,maize,maize_yellow,farm_gate,100
2019,2,01/13/2019,01/01/2019,Kano,maize,maize_yellow,retail,105.52
2019,2,01/13/2019,01/01/2019,Kano,rice,rice_indian,farm_gate,360
2019,2,01/13/2019,01/01/2019,Kano,rice,rice_indian,retail,345.31
2019,2,01/13/2019,01/01/2019,Kano,rice,rice_thailand,farm_gate,360
2019,2,01/13/2019,01/01/2019,Kano,rice,rice_thailand,retail,343.85
2019,2,01/13/2019,01/01/2019,Kano,rice,rice_thailand,wholesale,143
2019,2,01/13/2019,01/01/2019,Katsina,maize,maize_white,farm_gate,79.33
2019,2,01/13/2019,01/01/2019,Katsina,maize,maize_white,retail,89.95
2019,2,01/13/2019,01/01/2019,Katsina,maize,maize_white,wholesale,81.23
2019,2,01/13/2019,01/01/2019,Katsina,maize,maize_yellow,farm_gate,85.56
2019,2,01/13/2019,01/01/2019,Katsina,maize,maize_yellow,retail,83.04
2019,2,01/13/2019,01/01/2019,Katsina,maize,maize_yellow,wholesale,87.38
2019,2,01/13/2019,01/01/2019,Katsina,rice,rice_indian,farm_gate,294
2019,2,01/13/2019,01/01/2019,Katsina,rice,rice_indian,retail,311.82
2019,2,01/13/2019,01/01/2019,Katsina,rice,rice_thailand,farm_gate,315.33
2019,2,01/13/2019,01/01/2019,Katsina,rice,rice_thailand,retail,280.56
2019,3,01/20/2019,01/01/2019,Kano,maize,maize_white,farm_gate,88
2019,3,01/20/2019,01/01/2019,Kano,maize,maize_white,retail,103.58
2019,3,01/20/2019,01/01/2019,Kano,maize,maize_yellow,farm_gate,88
2019,3,01/20/2019,01/01/2019,Kano,maize,maize_yellow,retail,109.2
2019,3,01/20/2019,01/01/2019,Kano,rice,rice_indian,retail,323.52
2019,3,01/20/2019,01/01/2019,Kano,rice,rice_indian,wholesale,133.29
2019,3,01/20/2019,01/01/2019,Kano,rice,rice_thailand,farm_gate,352
2019,3,01/20/2019,01/01/2019,Kano,rice,rice_thailand,retail,316.72
2019,3,01/20/2019,01/01/2019,Kano,rice,rice_thailand,wholesale,141.29
2019,3,01/20/2019,01/01/2019,Katsina,maize,maize_white,farm_gate,82.5
2019,3,01/20/2019,01/01/2019,Katsina,maize,maize_white,retail,91.91
2019,3,01/20/2019,01/01/2019,Katsina,maize,maize_white,wholesale,78.01
2019,3,01/20/2019,01/01/2019,Katsina,maize,maize_yellow,farm_gate,89.5
2019,3,01/20/2019,01/01/2019,Katsina,maize,maize_yellow,retail,91.5
