State,Market,Commodity,Date,price_O,price_H,price_L,price_C
Kaduna,Giwa,maize,01/01/2019,72.4702,78.0733,66.8671,74.8
Kaduna,Giwa,maize,02/01/2019,75.1731,82,69.2336,82
Kaduna,Giwa,maize,03/01/2019,83.1458,89.6678,76.6238,79.5
Kaduna,Giwa,maize,04/01/2019,80.3544,86.823,73.8859,76.25
Kaduna,Giwa,maize,05/01/2019,76.8269,83.1547,70.4991,73
Kaduna,Giwa,maize,06/01/2019,73.3714,79.5492,65,65
Kaduna,Giwa,maize,07/01/2019,64.8741,76.6667,59.4431,76.6667
Kaduna,Giwa,maize,08/01/2019,77.8426,83.7564,71.9288,77.5
Kaduna,Giwa,maize,09/01/2019,78.6597,84.8236,72.4957,84.5
Kaduna,Giwa,maize,10/01/2019,86.2625,93.0545,79.4704,84.25
Kaduna,Giwa,maize,11/01/2019,85.7627,98.75,78.8068,98.75
Kaduna,Giwa,maize,12/01/2019,101.6542,109.4158,86.25,86.25
Kaduna,Giwa,maize,01/01/2020,87.5138,93.9159,79.6,79.6
Kaduna,Giwa,maize,02/01/2020,80.2072,86.122,74.2925,81.25
Kaduna,Giwa,maize,03/01/2020,82.0668,88.3012,75.8324,88.25
Kaduna,Giwa,maize,04/01/2020,89.743,98.5333,82.8988,98.5333
Kaduna,Giwa,maize,05/01/2020,100.9307,108.5411,93.3204,107.2581
Kaduna,Giwa,maize,06/01/2020,110.2203,132.8261,101.7987,132.8261
Kaduna,Giwa,maize,07/01/2020,138.1711,155.4418,128.8236,155.4418
Kaduna,Giwa,maize,08/01/2020,162.5418,173.8005,152.0044,173.8005
Kaduna,Giwa,maize,09/01/2020,181.7308,193.6931,168.8496,168.8496
Kaduna,Giwa,maize,10/01/2020,174.6262,186.4086,148.8537,148.8537
Kaduna,Giwa,maize,11/01/2020,151.6554,161.3446,138.9458,138.9458
Kaduna,Giwa,maize,12/01/2020,140.5459,149.645,131.4469,141.7097
Kaduna,Giwa,maize,01/01/2021,143.5308,168.9032,133.8668,168.9032
